LocationDesc,YearStart,Data_Value,Category 
Alabama,2013,36.7,35 - 44
Alabama,2013,31.1,"$35,000 - $49,999"
Alabama,2012,18.5,2 or more races
Alabama,2012,24.4,Other
Alabama,2014,32.9,Female
Alabama,2013,30.9,Male
Alabama,2013,34,Female
Alabama,2012,24.1,Hispanic
Alabama,2013,30.4,25 - 34
Alabama,2012,44.1,Non-Hispanic Black
Alabama,2013,40,45 - 54
Alabama,2013,37.1,55 - 64
Alabama,2013,28.4,65-100
Alabama,2013,37.2,"Less than $15,000"
Alabama,2013,36.6,"$15,000 - $24,999"
Alabama,2012,31.8,Male
Alabama,2013,19,18 - 24
Alabama,2012,35.2,"$15,000 - $24,999"
Alabama,2012,34.1,Female
Alabama,2012,23.9,18 - 24
Alabama,2012,31.3,25 - 34
Alabama,2012,34.1,35 - 44
Alabama,2012,39.7,45 - 54
Alabama,2012,40.3,55 - 64
Alabama,2012,DNE,Hawaiian/Pacific Islander
Alabama,2012,40.8,"Less than $15,000"
Alabama,2013,35.8,"$50,000 - $74,999"
Alabama,2012,29,"$25,000 - $34,999"
Alabama,2012,34.5,"$35,000 - $49,999"
Alabama,2012,34.5,"$50,000 - $74,999"
Alabama,2012,28.9,"$75,000 or greater"
Alabama,2012,28.4,Data not reported
Alabama,2012,30.1,Non-Hispanic White
Alabama,2012,26.9,65-100
Alabama,2014,41.9,Non-Hispanic Black
Alabama,2013,33.1,"$25,000 - $34,999"
Alabama,2014,40.6,"$15,000 - $24,999"
Alabama,2014,35.4,"$25,000 - $34,999"
Alabama,2014,35.5,"$35,000 - $49,999"
Alabama,2014,32.4,"$50,000 - $74,999"
Alabama,2014,31,"$75,000 or greater"
Alabama,2014,28.9,65-100
Alabama,2014,31.4,Non-Hispanic White
Alabama,2014,37.4,55 - 64
Alabama,2014,22.9,Hispanic
Alabama,2014,DNE,Asian
Alabama,2014,DNE,Hawaiian/Pacific Islander
Alabama,2014,35.2,American Indian/Alaska Native
Alabama,2014,39.3,2 or more races
Alabama,2014,DNE,Other
Alabama,2014,28,Data not reported
Alabama,2013,DNE,2 or more races
Alabama,2013,26.9,"$75,000 or greater"
Alabama,2013,28.9,Data not reported
Alabama,2013,29.6,Non-Hispanic White
Alabama,2013,41.3,Non-Hispanic Black
Alabama,2013,28.2,Hispanic
Alabama,2013,DNE,Asian
Alabama,2014,34.5,"Less than $15,000"
Alabama,2013,46.2,American Indian/Alaska Native
Alabama,2012,DNE,Asian
Alabama,2013,DNE,Other
Alabama,2014,34.1,Male
Alabama,2014,20.4,18 - 24
Alabama,2014,31.7,25 - 34
Alabama,2014,40.9,35 - 44
Alabama,2014,39.9,45 - 54
Alabama,2013,DNE,Hawaiian/Pacific Islander
Alabama,2015,35.2,25 - 34
Alabama,2011,DNE,Asian
Alabama,2012,26.5,American Indian/Alaska Native
Alabama,2011,32.9,American Indian/Alaska Native
Alabama,2011,DNE,Other
Alabama,2015,41.1,35 - 44
Alabama,2015,34.6,"$50,000 - $74,999"
Alabama,2015,30.2,65-100
Alabama,2011,29.8,Non-Hispanic White
Alabama,2015,40.3,55 - 64
Alabama,2015,40.6,45 - 54
Alabama,2015,34.9,Male
Alabama,2015,36.4,Female
Alabama,2015,31.2,Data not reported
Alabama,2015,32.7,"$75,000 or greater"
Alabama,2015,25.1,18 - 24
Alabama,2011,34.8,"$15,000 - $24,999"
Alabama,2011,31.8,Female
Alabama,2011,16.3,18 - 24
Alabama,2011,35.2,25 - 34
Alabama,2011,35.5,35 - 44
Alabama,2011,38,45 - 54
Alabama,2011,36.4,55 - 64
Alabama,2011,28.6,Hispanic
Alabama,2011,38.5,"Less than $15,000"
Alabama,2011,40.1,Non-Hispanic Black
Alabama,2011,35.8,"$25,000 - $34,999"
Alabama,2011,32.3,"$35,000 - $49,999"
Alabama,2011,34.1,"$50,000 - $74,999"
Alabama,2011,28.8,"$75,000 or greater"
Alabama,2011,23.8,Data not reported
Alabama,2011,27.8,2 or more races
Alabama,2011,27.1,65-100
Alabama,2011,DNE,Hawaiian/Pacific Islander
Alabama,2015,46.5,Non-Hispanic Black
Alabama,2015,39.4,American Indian/Alaska Native
Alabama,2015,36.5,"$35,000 - $49,999"
Alabama,2015,32.3,Non-Hispanic White
Alabama,2015,39.6,2 or more races
Alabama,2011,32.3,Male
Alabama,2015,31.4,Hispanic
Alabama,2015,40.5,"Less than $15,000"
Alabama,2015,38.8,"$25,000 - $34,999"
Alabama,2015,39.3,"$15,000 - $24,999"
Alabama,2015,DNE,Other
Alabama,2015,DNE,Asian
Alabama,2015,DNE,Hawaiian/Pacific Islander
Alaska,2013,26.4,Non-Hispanic White
Alaska,2013,28.1,25 - 34
Alaska,2013,31.7,"$35,000 - $49,999"
Alaska,2013,27,"$75,000 or greater"
Alaska,2013,32.3,"$50,000 - $74,999"
Alaska,2013,32.7,"$15,000 - $24,999"
Alaska,2013,29.3,"Less than $15,000"
Alaska,2013,30.4,65-100
Alaska,2013,33.1,55 - 64
Alaska,2013,19.6,Data not reported
Alaska,2013,29.8,45 - 54
Alaska,2013,33.5,35 - 44
Alaska,2013,24.5,"$25,000 - $34,999"
Alaska,2012,DNE,Hawaiian/Pacific Islander
Alaska,2012,28.4,"$50,000 - $74,999"
Alaska,2012,26.4,"$75,000 or greater"
Alaska,2012,20.2,Data not reported
Alaska,2012,26,Non-Hispanic White
Alaska,2012,39,Non-Hispanic Black
Alaska,2012,21.5,Other
Alaska,2012,2.3,Asian
Alaska,2013,27.5,Female
Alaska,2012,31.9,American Indian/Alaska Native
Alaska,2014,31.5,"Less than $15,000"
Alaska,2012,22.4,2 or more races
Alaska,2013,39.5,Non-Hispanic Black
Alaska,2013,12.6,18 - 24
Alaska,2013,29.2,Male
Alaska,2012,21.1,Hispanic
