YearStart,LocationDesc,Value,Class,Subclass
2011,Alabama,16.3,Age (years),18 - 24
2011,Alaska,19.8,Age (years),18 - 24
2011,Arizona,18.7,Age (years),18 - 24
2011,Arkansas,23,Age (years),18 - 24
2011,California,14.5,Age (years),18 - 24
2011,Colorado,10.2,Age (years),18 - 24
2011,Connecticut,16.1,Age (years),18 - 24
2011,Delaware,14.2,Age (years),18 - 24
2011,District of Columbia,8.5,Age (years),18 - 24
2011,Florida,10.7,Age (years),18 - 24
2011,Georgia,15,Age (years),18 - 24
2011,Hawaii,9.3,Age (years),18 - 24
2011,Idaho,15.7,Age (years),18 - 24
2011,Illinois,11.8,Age (years),18 - 24
2011,Indiana,19.6,Age (years),18 - 24
2011,Iowa,14.4,Age (years),18 - 24
2011,Kansas,16.1,Age (years),18 - 24
2011,Kentucky,21.2,Age (years),18 - 24
2011,Louisiana,17,Age (years),18 - 24
2011,Maine,14.8,Age (years),18 - 24
2011,Maryland,16.9,Age (years),18 - 24
2011,Massachusetts,13,Age (years),18 - 24
2011,Michigan,17.3,Age (years),18 - 24
2011,Minnesota,14.7,Age (years),18 - 24
2011,Mississippi,25.9,Age (years),18 - 24
2011,Missouri,18.5,Age (years),18 - 24
2011,Montana,15.7,Age (years),18 - 24
2011,Nebraska,14.7,Age (years),18 - 24
2011,Nevada,14,Age (years),18 - 24
2011,New Hampshire,13.2,Age (years),18 - 24
2011,New Jersey,12.1,Age (years),18 - 24
2011,New Mexico,15.7,Age (years),18 - 24
2011,New York,9.5,Age (years),18 - 24
2011,North Carolina,19.1,Age (years),18 - 24
2011,North Dakota,10.7,Age (years),18 - 24
2011,Ohio,16.1,Age (years),18 - 24
2011,Oklahoma,19.7,Age (years),18 - 24
2011,Oregon,15.3,Age (years),18 - 24
2011,Pennsylvania,16.4,Age (years),18 - 24
2011,Rhode Island,12.9,Age (years),18 - 24
2011,South Carolina,16.3,Age (years),18 - 24
2011,South Dakota,14.5,Age (years),18 - 24
2011,Tennessee,13.6,Age (years),18 - 24
2011,Texas,17.5,Age (years),18 - 24
2011,Utah,12.9,Age (years),18 - 24
2011,Vermont,15.6,Age (years),18 - 24
2011,Virginia,18.3,Age (years),18 - 24
2011,Washington,12.4,Age (years),18 - 24
2011,West Virginia,19.7,Age (years),18 - 24
2011,Wisconsin,15.5,Age (years),18 - 24
2011,Wyoming,12.6,Age (years),18 - 24
2011,Alabama,35.2,Age (years),25 - 34
2011,Alaska,23.5,Age (years),25 - 34
2011,Arizona,23.6,Age (years),25 - 34
2011,Arkansas,29.3,Age (years),25 - 34
2011,California,23.7,Age (years),25 - 34
2011,Colorado,19.3,Age (years),25 - 34
2011,Connecticut,23.2,Age (years),25 - 34
2011,Delaware,25.3,Age (years),25 - 34
2011,District of Columbia,20.8,Age (years),25 - 34
2011,Florida,25.9,Age (years),25 - 34
2011,Georgia,26.5,Age (years),25 - 34
2011,Hawaii,23.7,Age (years),25 - 34
2011,Idaho,27.6,Age (years),25 - 34
2011,Illinois,24.3,Age (years),25 - 34
2011,Indiana,30.9,Age (years),25 - 34
2011,Iowa,22.8,Age (years),25 - 34
2011,Kansas,28.8,Age (years),25 - 34
2011,Kentucky,28.7,Age (years),25 - 34
2011,Louisiana,32.7,Age (years),25 - 34
2011,Maine,28.8,Age (years),25 - 34
2011,Maryland,26.4,Age (years),25 - 34
2011,Massachusetts,18.6,Age (years),25 - 34
2011,Michigan,31.3,Age (years),25 - 34
2011,Minnesota,24.5,Age (years),25 - 34
2011,Mississippi,35.7,Age (years),25 - 34
2011,Missouri,26.1,Age (years),25 - 34
2011,Montana,23.8,Age (years),25 - 34
2011,Nebraska,27.3,Age (years),25 - 34
2011,Nevada,28,Age (years),25 - 34
2011,New Hampshire,24.9,Age (years),25 - 34
2011,New Jersey,21.7,Age (years),25 - 34
2011,New Mexico,26.2,Age (years),25 - 34
2011,New York,20.9,Age (years),25 - 34
2011,North Carolina,30.3,Age (years),25 - 34
2011,North Dakota,28.3,Age (years),25 - 34
2011,Ohio,28.2,Age (years),25 - 34
2011,Oklahoma,29.4,Age (years),25 - 34
2011,Oregon,28.2,Age (years),25 - 34
2011,Pennsylvania,23.5,Age (years),25 - 34
2011,Rhode Island,26,Age (years),25 - 34
2011,South Carolina,28.2,Age (years),25 - 34
2011,South Dakota,25.3,Age (years),25 - 34
2011,Tennessee,24.7,Age (years),25 - 34
2011,Texas,30.9,Age (years),25 - 34
2011,Utah,22.5,Age (years),25 - 34
2011,Vermont,24.2,Age (years),25 - 34
2011,Virginia,22.9,Age (years),25 - 34
2011,Washington,23.1,Age (years),25 - 34
2011,West Virginia,30.2,Age (years),25 - 34
2011,Wisconsin,23.7,Age (years),25 - 34
2011,Wyoming,25.1,Age (years),25 - 34
2011,Alabama,35.5,Age (years),35 - 44
2011,Alaska,29.5,Age (years),35 - 44
2011,Arizona,25.4,Age (years),35 - 44
2011,Arkansas,32.9,Age (years),35 - 44
2011,California,25.9,Age (years),35 - 44
2011,Colorado,22.7,Age (years),35 - 44
2011,Connecticut,25.4,Age (years),35 - 44
2011,Delaware,33.2,Age (years),35 - 44
2011,District of Columbia,22,Age (years),35 - 44
2011,Florida,29.9,Age (years),35 - 44
2011,Georgia,29.6,Age (years),35 - 44
2011,Hawaii,30.5,Age (years),35 - 44
2011,Idaho,28,Age (years),35 - 44
2011,Illinois,28.3,Age (years),35 - 44
2011,Indiana,33.2,Age (years),35 - 44
2011,Iowa,32.7,Age (years),35 - 44
2011,Kansas,32.9,Age (years),35 - 44
2011,Kentucky,33.7,Age (years),35 - 44
2011,Louisiana,38.5,Age (years),35 - 44
2011,Maine,28.9,Age (years),35 - 44
2011,Maryland,32,Age (years),35 - 44
2011,Massachusetts,25,Age (years),35 - 44
2011,Michigan,33.3,Age (years),35 - 44
2011,Minnesota,28.6,Age (years),35 - 44
